,0
Global,7.169973124103445e+25
0,2.0723030018383987e+23
1,4.1784497763810175e+21
2,3.6180688763512816e+21
3,4.572502519217599e+21
4,3.8300730847262026e+21
5,3.9076802063939603e+21
