,0
Global,7.220434567045549e+25
0,3.9669941556550335e+21
1,3.9980826171264624e+21
2,3.2374751156739113e+21
3,4.33868074636569e+21
4,3.5281159628927743e+21
5,2.4106351961698258e+23
