,Global,0,1,2,3,4
0,6.181420758366585e-06,0.0,1.2848293408751488e-05,1.0756310075521469e-05,1.6010599210858345e-05,1.618964597582817e-05
1,4.502944648265839e-06,1.2848060578107834e-05,0.0,1.0483665391802788e-05,1.1970754712820053e-05,1.2106262147426605e-05
2,4.1727907955646515e-06,1.0756077244877815e-05,1.0483665391802788e-05,0.0,1.1782627552747726e-05,1.2736301869153976e-05
3,4.889210686087608e-06,1.6010599210858345e-05,1.1970987543463707e-05,1.1782627552747726e-05,0.0,9.570969268679619e-06
4,5.145091563463211e-06,1.618964597582817e-05,1.2106262147426605e-05,1.2736069038510323e-05,9.570736438035965e-06,0.0
