,Global,0,1,2,3
0,3.4621916711330414e-06,0.0,8.762115612626076e-06,8.993549272418022e-06,8.762814104557037e-06
1,3.123423084616661e-06,8.76234844326973e-06,0.0,8.305534720420837e-06,8.0806203186512e-06
2,3.094784915447235e-06,8.993316441774368e-06,8.305534720420837e-06,0.0,7.734401151537895e-06
3,2.9799994081258774e-06,8.762814104557037e-06,8.0806203186512e-06,7.734401151537895e-06,0.0
