,0
Global,7.231753620575684e+25
0,1.7718323967992246e+21
1,1.7926655460058357e+21
2,1.9064529599726653e+21
3,1.6759571519557282e+21
4,1.6054697599867332e+21
5,2.606329514718307e+21
